income_level,subsample,n,mean_flfp,median_flfp,sd_flfp
High income,All,619,0.6263076697682332,0.6447755098342896,0.09384573135430156
High income,Female,557,0.6271813731754274,0.6457267999649048,0.09537778318637387
High income,High Education,500,0.662619108080864,0.6690622866153717,0.08161713303060923
High income,Low Education,517,0.41116289711220466,0.4251530766487122,0.18819104924492128
High income,Old,557,0.6836715692677663,0.7020393013954163,0.10687451102377166
High income,Rural,458,0.6097663440883943,0.6312770843505859,0.11341737275417196
High income,Urban,481,0.6387888972575849,0.6630228757858276,0.09202263271584563
High income,Young,557,0.3559081491009337,0.3301928341388702,0.11091355001476073
Low income,All,140,0.6752442227942603,0.7327454090118408,0.20557095327858188
Low income,Female,129,0.6825085898009382,0.7343701720237732,0.19882425968887038
Low income,High Education,129,0.5842656046404799,0.5919872522354126,0.20567851806813134
Low income,Low Education,129,0.7014988304021977,0.7620037794113159,0.21951128916275717
Low income,Old,129,0.7464338854070782,0.803586483001709,0.19947113748426773
Low income,Rural,123,0.7257075456342077,0.7996017336845398,0.2111171857805238
Low income,Urban,125,0.5785595806837083,0.581545889377594,0.18480978830546
Low income,Young,129,0.5695162423012793,0.5799605250358582,0.2115469848838836
Lower middle income,All,422,0.4963059201306923,0.5019004940986633,0.18266012090873432
Lower middle income,Female,416,0.49469464499718285,0.5011351108551025,0.18158270926845535
Lower middle income,High Education,408,0.5153746247364609,0.5331375598907471,0.17059778790232707
Lower middle income,Low Education,410,0.43321763264560514,0.43805383145809174,0.21478078623774827
Lower middle income,Old,416,0.5554222794464576,0.5673454105854034,0.20009148148439831
Lower middle income,Rural,405,0.5067339676397815,0.4940314590930939,0.21334650028827573
Lower middle income,Urban,408,0.4739350458680121,0.5156130790710449,0.18090542316520505
Lower middle income,Young,416,0.3389148822394559,0.32860638201236725,0.1545338603004125
Upper middle income,All,515,0.5413329025206057,0.5551593899726868,0.14442365020674108
Upper middle income,Female,485,0.5397811507134094,0.5548700094223022,0.14635572808821193
Upper middle income,High Education,476,0.606075997832192,0.6167756617069244,0.13680944600836725
Upper middle income,Low Education,479,0.41984404515162005,0.4055781066417694,0.18966655517557876
Upper middle income,Old,485,0.5966369143466359,0.6156536340713501,0.16003227486126878
Upper middle income,Rural,424,0.5178866963130686,0.4962773025035858,0.1736451897470972
Upper middle income,Urban,428,0.5696781703105597,0.5915422737598419,0.1374629601682288
Upper middle income,Young,485,0.36626992535959807,0.3421227633953094,0.13783875899347223
