year,income_level,n,mean_flfp,median_flfp,sd_flfp
1990,High income,31,0.4587571837248341,0.4310764968395233,0.14265709007430802
1990,Lower middle income,8,0.5061810091137886,0.5211348533630371,0.06949918695261066
1990,Upper middle income,32,0.6067172111943364,0.6401036977767944,0.20497210106840372
1991,High income,40,0.5420021053403616,0.5040013939142227,0.16501518312799435
1991,Lower middle income,30,0.5058082083861033,0.4957514852285385,0.17034905253482466
1991,Upper middle income,16,0.5503395218402147,0.5600590258836746,0.20361971034786144
1992,High income,44,0.5179416930133647,0.469685897231102,0.15525739764255952
1992,Low income,8,0.6163347903639078,0.718070924282074,0.26585460593712257
1992,Lower middle income,32,0.3473552973009646,0.38510987162590027,0.14532567158361845
1992,Upper middle income,40,0.5030321292579174,0.45466507971286774,0.1606964781109469
1993,High income,41,0.5424581838817131,0.4919697046279907,0.13704810848278814
1993,Low income,16,0.7051060162484646,0.7306727170944214,0.12487112142632577
1993,Lower middle income,42,0.41203820811850683,0.4120834767818451,0.08417546559832982
1993,Upper middle income,40,0.5106140695512295,0.5028861165046692,0.15725672464863424
1994,High income,49,0.4902483817874169,0.4736303687095642,0.10638151891643853
1994,Low income,15,0.7263882795969645,0.7677621245384216,0.09867545746169555
1994,Lower middle income,24,0.42506221433480584,0.41299206018447876,0.08426005472273639
1994,Upper middle income,32,0.4988232678733766,0.49900467693805695,0.15919668753699984
1995,High income,61,0.521982697678394,0.5170618891716003,0.11370216186994536
1995,Low income,31,0.5167603590525687,0.5176065564155579,0.17904391348169885
1995,Lower middle income,32,0.4306989535689354,0.4198152720928192,0.09257551055795468
1995,Upper middle income,40,0.5156896151602268,0.5015207529067993,0.1394903203305252
1996,High income,59,0.5569099283824532,0.5202258825302124,0.17753333160407697
1996,Low income,8,0.7133625037968159,0.746776670217514,0.15589402156154517
1996,Lower middle income,40,0.4484122574329376,0.43210768699646,0.09024457442867598
1996,Upper middle income,48,0.4946477081005772,0.4445366263389587,0.18717590246678478
1997,High income,72,0.5357653602129884,0.5282061100006104,0.12000392043379883
1997,Low income,24,0.4416762205461662,0.3174631595611572,0.2988036313008509
1997,Lower middle income,64,0.4823996399063617,0.4882854074239731,0.14555564096324067
1997,Upper middle income,56,0.5208915040961333,0.5128658711910248,0.1289874672345467
1998,High income,124,0.5308287931726344,0.5391089022159576,0.1563045901102121
1998,Low income,25,0.5771583819389343,0.706095814704895,0.2786035738785532
1998,Lower middle income,96,0.47317926314038533,0.47334282100200653,0.15836133988409698
1998,Upper middle income,73,0.5694412009356773,0.5727876424789429,0.14153058971234805
1999,High income,97,0.5313373799867851,0.5469050407409668,0.15862086173140505
1999,Low income,32,0.6240616841241717,0.6802071332931519,0.13361353132839665
1999,Lower middle income,95,0.47258236894482064,0.476925790309906,0.21402269499958032
1999,Upper middle income,119,0.542306773301934,0.5299085378646851,0.1752985390302044
2000,High income,143,0.5237845539838284,0.544916033744812,0.15216883644450954
2000,Low income,24,0.6962786676983039,0.7481284737586975,0.14965126313939245
2000,Lower middle income,112,0.4573475953989796,0.4459715485572815,0.1961788408330759
2000,Upper middle income,102,0.502236420763474,0.4994945526123047,0.17652446173988212
2001,High income,141,0.5517600547020317,0.5605419874191284,0.15104781323359506
2001,Low income,22,0.6032373905181885,0.5661886632442474,0.13904638421959917
2001,Lower middle income,120,0.4788670255181692,0.46807245910167694,0.2173340872085275
2001,Upper middle income,136,0.5124405540580697,0.545045793056488,0.1741367894327384
2002,High income,115,0.5316451416391393,0.5609740614891052,0.1490054628120133
2002,Low income,24,0.7088007281223933,0.723874419927597,0.13494090291719688
2002,Lower middle income,134,0.5182951003479868,0.5086767375469208,0.20098808301334536
2002,Upper middle income,179,0.5232858399772111,0.559126079082489,0.16790573531579916
2003,High income,139,0.5456849241481839,0.5822933316230774,0.15440838998028822
2003,Low income,59,0.5961707800121631,0.5500783324241638,0.24566794691342228
2003,Lower middle income,133,0.4770633694540737,0.4723322987556458,0.22035773015579538
2003,Upper middle income,158,0.524490331405703,0.54491424560546875,0.16789629876155146
2004,High income,196,0.5758828871493817,0.6144492328166962,0.15635394946447456
2004,Low income,40,0.5427100662142038,0.5144616961479187,0.21502780136972852
2004,Lower middle income,104,0.42545159132434773,0.41535308957099915,0.18626635132609504
2004,Upper middle income,172,0.4865990764959607,0.5019609332084656,0.16636658026149115
2005,High income,223,0.5805878007425321,0.6211728453636169,0.15772312809388153
2005,Low income,41,0.6152777112111812,0.6820583343505859,0.23252471475341724
2005,Lower middle income,183,0.46630140907981016,0.4694455862045288,0.19655617994562363
2005,Upper middle income,174,0.5391870382102741,0.5617024600505829,0.1838141556589965
2006,High income,226,0.5935182794269207,0.6400169730186462,0.1625211531259244
2006,Low income,16,0.8380932249128819,0.8571435809135437,0.08295168888484453
2006,Lower middle income,110,0.4943834368647501,0.490462988615036,0.19237902713832056
2006,Upper middle income,162,0.5020970228921483,0.5374760627746582,0.18560710002148603
2007,High income,207,0.5834148005011001,0.6302860975265503,0.1576911829597046
2007,Low income,41,0.7066115867800828,0.7115639448165894,0.13966073535551504
2007,Lower middle income,158,0.4732575436841836,0.464525505900383,0.20990445511866712
2007,Upper middle income,150,0.5368605833748976,0.5637103319168091,0.19711750385277083
2008,High income,205,0.5912701988956187,0.6386767625808716,0.1620708524112742
2008,Low income,24,0.8197370022535324,0.8334558606147766,0.08513828565779302
2008,Lower middle income,161,0.4726428261289939,0.4856801629066467,0.22057669305992905
2008,Upper middle income,143,0.49166512171496873,0.5263426303863525,0.17226736321012578
2009,High income,229,0.5825901563446074,0.6317178010940552,0.16478690917015967
2009,Low income,40,0.631742662191391,0.714607834815979,0.23983937583179252
2009,Lower middle income,184,0.4630297303969121,0.48152051866054535,0.19460793120706318
