term,estimate,std.error,statistic,p.value
(Intercept),0.9688595191526992,0.014635790661865123,66.19796234699847,0
unemployment,-0.3750942652414431,0.01658408611286724,-22.61772295974847,2.3209205792380735e-110
female_non_agri,-0.14060054155667673,0.00933780331191841,-15.057132481813968,1.189883064605924e-50
avg_weekly_hours,-0.004771560625389248,2.9598232206042675e-4,-16.12110004466788,1.055884727663439e-57
income_levelLow income,-0.004281942264644857,0.007964967695554503,-0.5375969405418609,0.5908679537467542
income_levelLower middle income,-0.14992168903356318,0.004658852163109673,-32.17996274290318,9.943389136496188e-216
income_levelUpper middle income,-0.06377306267373242,0.00409768614676955,-15.563188684913928,5.997193955161768e-54
subsampleFemale,-0.012207681045174605,0.00585516344772881,-2.0849428293773604,0.03710116481589533
subsampleHigh Education,0.04939490615816218,0.005910018763154546,8.357825607273883,7.287131130800319e-17
subsampleLow Education,-0.12664574345927032,0.006007345842460303,-21.081813296669246,1.8624459873350732e-96
subsampleOld,0.051359058602999205,0.005772263225508743,8.897560037808676,6.755772685920943e-19
subsampleRural,-0.03853040078062305,0.00609099954526756,-6.325792752777249,2.633118560737455e-10
subsampleUrban,0.02703269875757117,0.006035119207002458,4.479231947267179,7.578853905929775e-6
subsampleYoung,-0.16909081974990378,0.006016470985446013,-28.104651407600652,5.239583352904216e-167
