country,region,income_level,subsample,year,flfp,unemployment,female_non_agri,avg_weekly_hours
Afghanistan,SAS,Low income,All,2007,0.450759470462799,0.02469781786203384,0.2337593883275986,36.88333511352539
Afghanistan,SAS,Low income,All,2011,0.1955184787511826,0.05225273594260216,0.4571669101715088,43.04397201538086
Afghanistan,SAS,Low income,All,2013,0.2422168701887131,0.09286794811487198,0.3370795845985413,37.51772308349609
Angola,SSF,Lower middle income,All,2000,0.8847494125366211,0.04996025562286377,0.8046554327011108,47.17153549194336
Albania,ECS,Upper middle income,All,2002,0.5512931942939758,0.1008981913328171,0.3024701476097107,38.2062873840332
Albania,ECS,Upper middle income,All,2005,0.5010432600975037,0.06355688720941544,0.3833224177360535,43.37784957885742
Argentina,LCN,High income,All,1991,0.44403076171875,0.05297677218914032,0.9985948801040648,45.24203872680664
Argentina,LCN,High income,All,1992,0.4559509754180908,0.06812451779842377,0.9963662624359132,45.04065322875977
Argentina,LCN,High income,All,1993,0.475922703742981,0.09419538825750352,0.997431457042694,45.51127243041992
Argentina,LCN,High income,All,1994,0.4784208536148071,0.1232119351625443,0.9968149065971376,44.68107223510742
Argentina,LCN,High income,All,1995,0.4965859651565552,0.1687871068716049,0.9974504113197328,43.05337524414063
Argentina,LCN,High income,All,1996,0.4991475641727448,0.178887739777565,0.9986270666122437,43.15521240234375
Argentina,LCN,High income,All,1997,0.511810302734375,0.1422449350357056,0.9982250928878784,43.09841156005859
Argentina,LCN,High income,All,1998,0.4908155798912048,0.125227153301239,0.9975877404212952,43.12124252319336
Argentina,LCN,High income,All,1999,0.5049319267272949,0.1400709599256516,0.997675359249115,43.01208114624023
Argentina,LCN,High income,All,2000,0.5119520425796509,0.1483716666698456,0.9973124861717224,42.55511474609375
Argentina,LCN,High income,All,2001,0.500267505645752,0.1853370070457458,0.9976234436035156,41.30472183227539
Argentina,LCN,High income,All,2002,0.5280176997184753,0.1801358610391617,0.9919105172157288,39.07344436645508
Argentina,LCN,High income,All,2005,0.5715721845626831,0.1069620400667191,0.992496907711029,40.52915573120117
Argentina,LCN,High income,All,2006,0.5721741914749146,0.0946383699774742,0.9968646764755248,40.60430526733398
Argentina,LCN,High income,All,2007,0.5518713593482971,0.07471006363630295,0.9970122575759888,41.12015533447266
Argentina,LCN,High income,All,2008,0.5612541437149048,0.0784192606806755,0.9961568713188172,40.60062789916992
Argentina,LCN,High income,All,2009,0.5673145055770874,0.08656670153141022,0.9949538111686708,40.11418151855469
Argentina,LCN,High income,All,2010,0.5577747225761414,0.07633966207504272,0.9965879321098328,40.330322265625
Argentina,LCN,High income,All,2011,0.5656527280807495,0.0749666839838028,0.997292935848236,40.09079360961914
Argentina,LCN,High income,All,2013,0.5616095662117004,0.07869187742471695,0.99637109041214,39.69679260253906
Armenia,ECS,Upper middle income,All,2009,0.506808876991272,0.1673326790332794,0.5730132460594177,38.3226203918457
Armenia,ECS,Upper middle income,All,2011,0.59534752368927,0.1908197402954102,0.5745420455932617,38.01009750366211
Armenia,ECS,Upper middle income,All,2013,0.5963543653488159,0.1663215011358261,0.5760346055030823,38.94956970214844
Armenia,ECS,Upper middle income,All,2014,0.6005678176879883,0.1601360440254211,0.5846375823020935,38.86318206787109
Armenia,ECS,Upper middle income,All,2015,0.6220905184745789,0.1629529148340225,0.5779836773872375,38.78667068481445
Armenia,ECS,Upper middle income,All,2016,0.6355265378952026,0.1614351272583008,0.6153483390808105,39.44211959838867
Armenia,ECS,Upper middle income,All,2018,0.7217298746109009,0.1483030915260315,0.6156803965568542,39.52714157104492
Australia,EAS,High income,All,2001,0.6698628664016724,0.07050685584545135,0.9706538319587708,36.89447784423828
Australia,EAS,High income,All,2002,0.6779656410217285,0.06139234080910683,0.9734789729118348,36.69191741943359
Australia,EAS,High income,All,2003,0.6780967116355896,0.05491431057453156,0.9751519560813904,36.52400970458984
Australia,EAS,High income,All,2004,0.6860314607620239,0.04994413256645203,0.972939908504486,36.30940628051758
Australia,EAS,High income,All,2005,0.7015968561172485,0.04912291467189789,0.975832998752594,36.37725067138672
Australia,EAS,High income,All,2006,0.7125280499458313,0.04587769880890846,0.980523407459259,36.46157455444336
Australia,EAS,High income,All,2007,0.7251392006874084,0.04382655397057533,0.9849357604980468,36.4283561706543
Australia,EAS,High income,All,2008,0.7276818752288818,0.04406571760773659,0.9847127199172974,36.40744018554688
