year,income_level,n,mean_flfp
1990,High income,31,0.4587571837248341
1990,Lower middle income,8,0.5061810091137886
1990,Upper middle income,32,0.6067172111943364
1991,High income,40,0.5420021053403616
1991,Lower middle income,30,0.5058082083861033
1991,Upper middle income,16,0.5503395218402147
1992,High income,44,0.5179416930133647
1992,Low income,8,0.6163347903639078
1992,Lower middle income,32,0.3473552973009646
1992,Upper middle income,40,0.5030321292579174
1993,High income,41,0.5424581838817131
1993,Low income,16,0.7051060162484646
1993,Lower middle income,42,0.41203820811850683
1993,Upper middle income,40,0.5106140695512295
1994,High income,49,0.4902483817874169
1994,Low income,15,0.7263882795969645
1994,Lower middle income,24,0.42506221433480584
1994,Upper middle income,32,0.4988232678733766
1995,High income,61,0.521982697678394
1995,Low income,31,0.5167603590525687
1995,Lower middle income,32,0.4306989535689354
1995,Upper middle income,40,0.5156896151602268
1996,High income,59,0.5569099283824532
1996,Low income,8,0.7133625037968159
1996,Lower middle income,40,0.4484122574329376
1996,Upper middle income,48,0.4946477081005772
1997,High income,72,0.5357653602129884
1997,Low income,24,0.4416762205461662
1997,Lower middle income,64,0.4823996399063617
1997,Upper middle income,56,0.5208915040961333
1998,High income,124,0.5308287931726344
1998,Low income,25,0.5771583819389343
1998,Lower middle income,96,0.47317926314038533
1998,Upper middle income,73,0.5694412009356773
1999,High income,97,0.5313373799867851
1999,Low income,32,0.6240616841241717
1999,Lower middle income,95,0.47258236894482064
1999,Upper middle income,119,0.542306773301934
2000,High income,143,0.5237845539838284
2000,Low income,24,0.6962786676983039
2000,Lower middle income,112,0.4573475953989796
2000,Upper middle income,102,0.502236420763474
2001,High income,141,0.5517600547020317
2001,Low income,22,0.6032373905181885
2001,Lower middle income,120,0.4788670255181692
2001,Upper middle income,136,0.5124405540580697
2002,High income,115,0.5316451416391393
2002,Low income,24,0.7088007281223933
2002,Lower middle income,134,0.5182951003479868
2002,Upper middle income,179,0.5232858399772111
2003,High income,139,0.5456849241481839
2003,Low income,59,0.5961707800121631
2003,Lower middle income,133,0.4770633694540737
2003,Upper middle income,158,0.524490331405703
2004,High income,196,0.5758828871493817
2004,Low income,40,0.5427100662142038
2004,Lower middle income,104,0.42545159132434773
2004,Upper middle income,172,0.4865990764959607
2005,High income,223,0.5805878007425321
2005,Low income,41,0.6152777112111812
2005,Lower middle income,183,0.46630140907981016
2005,Upper middle income,174,0.5391870382102741
2006,High income,226,0.5935182794269207
2006,Low income,16,0.8380932249128819
2006,Lower middle income,110,0.4943834368647501
2006,Upper middle income,162,0.5020970228921483
2007,High income,207,0.5834148005011001
2007,Low income,41,0.7066115867800828
2007,Lower middle income,158,0.4732575436841836
2007,Upper middle income,150,0.5368605833748976
2008,High income,205,0.5912701988956187
2008,Low income,24,0.8197370022535324
2008,Lower middle income,161,0.4726428261289939
2008,Upper middle income,143,0.49166512171496873
2009,High income,229,0.5825901563446074
2009,Low income,40,0.631742662191391
2009,Lower middle income,184,0.4630297303969121
2009,Upper middle income,189,0.5305365635840981
2010,High income,213,0.5969295525494875
2010,Low income,80,0.7140059642493725
2010,Lower middle income,170,0.4706845968413878
2010,Upper middle income,168,0.5095707387885168
2011,High income,243,0.5870189293299193
2011,Low income,65,0.6664270669221878
2011,Lower middle income,118,0.46526923106383455
2011,Upper middle income,168,0.4948592656513765
2012,High income,234,0.5978037438904628
2012,Low income,56,0.7116372138261795
2012,Lower middle income,168,0.5333390142408289
2012,Upper middle income,171,0.49469170164404036
2013,High income,257,0.5934106072389198
2013,Low income,65,0.5822932950579203
2013,Lower middle income,119,0.44420709373319844
2013,Upper middle income,173,0.5072105574728436
2014,High income,243,0.6082857274469525
2014,Low income,56,0.6353902752910342
2014,Lower middle income,145,0.508616525962435
2014,Upper middle income,155,0.5165883164312091
2015,High income,251,0.608637526082209
2015,Low income,33,0.6943948837843809
2015,Lower middle income,144,0.4729714675599503
2015,Upper middle income,164,0.5351055470272535
2016,High income,226,0.6092175180174871
2016,Low income,40,0.6470040921121836
2016,Lower middle income,128,0.4952036883914843
2016,Upper middle income,171,0.5057051523645784
2017,High income,47,0.5725834775478282
2017,Low income,16,0.728720823302865
2017,Lower middle income,152,0.45443352081469807
2017,Upper middle income,143,0.5271503776311874
2018,High income,31,0.5952392085905998
2018,Low income,78,0.8472038098634818
2018,Lower middle income,128,0.5167257197317667
2018,Upper middle income,129,0.5562587863253069
2019,High income,23,0.5776191392670507
2019,Low income,14,0.6020891325814384
2019,Lower middle income,103,0.482335925355409
2019,Upper middle income,130,0.5044585142571193
2020,High income,13,0.5631520839837881
2020,Low income,24,0.5117864074806373
2020,Lower middle income,40,0.5208613446622621
2020,Upper middle income,88,0.5421792378395118
2021,High income,23,0.5614842681781105
2021,Low income,16,0.5344737432897091
2021,Lower middle income,24,0.5430490643096467
2021,Upper middle income,56,0.5889650641807488
